Test #,Section,Test Case,Steps,Expected Result,Status (Pass/Fail/Blocked/N/A),Severity,Tested By,Date Tested,Notes
,,,,,,,,,"SALDANA & SONS - ToolTime Pro Beta Tester Checklist (175 Test Cases)"
,,,,,,,,,"Instructions: Fill in Status column as you test. Use Pass / Fail / Blocked / N/A. Add notes for any failures."
,,,,,,,,,
1.1,Account & Login,Sign up with company name,"Go to /auth/signup, enter ""Saldana & Sons"" as company, fill all fields","Account created, confirmation email sent",,Medium,,,
1.2,Account & Login,Email confirmation,Click confirmation link in email,"Email verified, redirected to login",,High,,,
1.3,Account & Login,Login with valid credentials,"Go to /auth/login, enter valid email/password",Redirected to /dashboard,,Critical,,,
1.4,Account & Login,Login with wrong password,"Enter valid email, wrong password","Error message displayed, not logged in",,Medium,,,
1.5,Account & Login,Login with unregistered email,Enter email not in system,Appropriate error message,,Medium,,,
1.6,Account & Login,Forgot password flow,"Click ""Forgot Password"", enter email",Reset email received with valid link,,High,,,
1.7,Account & Login,Reset password,"Use reset link, enter new password","Password updated, can login with new password",,High,,,
1.8,Account & Login,Session persistence,"Login, close browser, reopen app",User remains logged in,,Medium,,,
1.9,Account & Login,Logout,Click logout from dashboard,"Session ended, redirected to login",,Medium,,,
1.10,Account & Login,Auth timeout handling,Wait for session to near expiry,Session refreshes automatically or prompts re-login,,Medium,,,
,,,,,,,,,
2.1,Dashboard Overview,Dashboard loads,Login and view /dashboard,Dashboard loads with stats cards,,Critical,,,
2.2,Dashboard Overview,Today's jobs count,"Check ""Today's Jobs"" card",Shows correct count of jobs for today,,High,,,
2.3,Dashboard Overview,New leads count,"Check ""New Leads"" card",Shows accurate lead count,,High,,,
2.4,Dashboard Overview,Pending quotes,"Check ""Pending Quotes"" card",Shows correct number of unsent/draft quotes,,High,,,
2.5,Dashboard Overview,Unpaid invoices,"Check ""Unpaid Invoices"" card",Shows correct unpaid invoice count,,High,,,
2.6,Dashboard Overview,Monthly revenue,Check revenue display,Shows accurate revenue for current month,,High,,,
2.7,Dashboard Overview,Navigation sidebar,Click each nav item in sidebar,Each link navigates to correct page,,Critical,,,
2.8,Dashboard Overview,Dashboard data refresh,"Create a new job, return to dashboard",Stats update to reflect new data,,Medium,,,
2.9,Dashboard Overview,Mobile responsiveness,View dashboard on phone screen,"Layout adapts, all data visible",,Medium,,,
,,,,,,,,,
3.1,Worker App (Mobile),Worker login page,Navigate to /worker/login,"Login form appears, mobile-optimized",,Critical,,,
3.2,Worker App (Mobile),Worker PIN login,Enter worker PIN,"Worker authenticated, sees worker dashboard",,Critical,,,
3.3,Worker App (Mobile),View assigned jobs,"After login, check job list",Only jobs assigned to this worker appear,,High,,,
3.4,Worker App (Mobile),Job detail view,Tap on a job,"Full job details display (customer, address, services, notes)",,High,,,
3.5,Worker App (Mobile),Update job status,"Change job from ""scheduled"" to ""in_progress""",Status updates and persists,,High,,,
3.6,Worker App (Mobile),Complete a job,"Mark job as ""completed""","Job moves to completed, timestamp recorded",,High,,,
3.7,Worker App (Mobile),Upload job photos,Take/upload a photo from job site,Photo uploads and appears in job record,,Medium,,,
